model_path: results/models/advanced_model_best.pth
model_type: advanced
accuracy: 0.2139
precision: 0.1819
recall: 0.2139
f1_score: 0.1719
loss: 3.6188

Class report:
  Class 25: precision=1.0000, recall=0.1667, f1-score=0.2857, support=6.0
  Class 26: precision=0.0000, recall=0.0000, f1-score=0.0000, support=7.0
  Class 27: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 28: precision=0.0000, recall=0.0000, f1-score=0.0000, support=1.0
  Class 29: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 30: precision=0.5000, recall=0.1333, f1-score=0.2105, support=15.0
  Class 31: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 32: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 33: precision=0.4444, recall=0.2000, f1-score=0.2759, support=20.0
  Class 34: precision=0.0000, recall=0.0000, f1-score=0.0000, support=21.0
  Class 35: precision=0.0000, recall=0.0000, f1-score=0.0000, support=15.0
  Class 36: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 37: precision=0.1364, recall=0.3103, f1-score=0.1895, support=29.0
  Class 38: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 39: precision=0.0000, recall=0.0000, f1-score=0.0000, support=4.0
  Class 40: precision=0.1111, recall=0.0833, f1-score=0.0952, support=12.0
  Class 41: precision=0.0000, recall=0.0000, f1-score=0.0000, support=8.0
  Class 42: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 43: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 44: precision=0.0000, recall=0.0000, f1-score=0.0000, support=1.0
  Class 45: precision=0.5000, recall=0.0625, f1-score=0.1111, support=16.0
  Class 46: precision=0.0690, recall=0.1176, f1-score=0.0870, support=17.0
  Class 47: precision=0.1562, recall=0.2083, f1-score=0.1786, support=24.0
  Class 48: precision=0.1429, recall=0.0769, f1-score=0.1000, support=13.0
  Class 49: precision=0.0000, recall=0.0000, f1-score=0.0000, support=3.0
  Class 50: precision=0.1489, recall=0.2692, f1-score=0.1918, support=26.0
  Class 51: precision=0.1250, recall=0.2500, f1-score=0.1667, support=8.0
  Class 52: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 53: precision=0.2727, recall=0.1714, f1-score=0.2105, support=35.0
  Class 54: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 55: precision=0.0667, recall=0.0714, f1-score=0.0690, support=14.0
  Class 56: precision=0.0000, recall=0.0000, f1-score=0.0000, support=3.0
  Class 57: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 58: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
