model_path: results/models/enhanced_patch_optimized_best.pth
model_type: enhanced_patch
accuracy: 0.3707
precision: 0.4694
recall: 0.3707
f1_score: 0.3736
loss: 2.8967

Class report:
  Class 76: precision=0.0000, recall=0.0000, f1-score=0.0000, support=8.0
  Class 77: precision=0.6667, recall=0.3333, f1-score=0.4444, support=12.0
  Class 78: precision=0.0667, recall=0.0625, f1-score=0.0645, support=16.0
  Class 79: precision=0.6667, recall=0.7222, f1-score=0.6933, support=36.0
  Class 80: precision=1.0000, recall=0.1429, f1-score=0.2500, support=14.0
  Class 81: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 82: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 83: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 84: precision=0.5652, recall=0.3171, f1-score=0.4062, support=41.0
  Class 85: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 86: precision=1.0000, recall=0.1000, f1-score=0.1818, support=10.0
  Class 87: precision=0.1579, recall=0.3000, f1-score=0.2069, support=10.0
  Class 88: precision=0.6667, recall=0.1818, f1-score=0.2857, support=11.0
  Class 89: precision=0.5000, recall=0.2000, f1-score=0.2857, support=10.0
  Class 90: precision=0.9500, recall=0.5938, f1-score=0.7308, support=32.0
  Class 91: precision=0.2500, recall=0.1429, f1-score=0.1818, support=7.0
  Class 92: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 93: precision=0.0000, recall=0.0000, f1-score=0.0000, support=3.0
  Class 94: precision=0.1500, recall=0.2500, f1-score=0.1875, support=12.0
  Class 95: precision=0.1333, recall=0.3333, f1-score=0.1905, support=6.0
  Class 96: precision=0.3333, recall=0.1667, f1-score=0.2222, support=12.0
  Class 97: precision=0.2500, recall=0.1667, f1-score=0.2000, support=12.0
  Class 98: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 99: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 100: precision=0.3889, recall=0.3043, f1-score=0.3415, support=23.0
